Words,Count
hañgāma,321
janāb,321
akasr,321
batāo,321
shīrīñ,320
bāñdh,320
qahr,320
pan,320
daad,320
vāpas,320
armān,319
pahuñchī,319
asrār,319
dād,318
simaT,318
sohbat,318
qaa.em,318
nigār,318
yārab,317
lākhoñ,317
nazdīk,317
nargis,317
lagā.e,317
saayā,316
ranj,316
tahzīb,316
lipaT,316
nādāñ,315
giit,315
lāzim,315
aġhyār,314
qāfile,314
barham,314
bulandī,314
andāza,314
dilī,314
rau,314
mubārak,313
raqīb,313
sabza,313
dūñgā,313
zād,313
badlā,312
diid,312
kaalī,311
rakhtī,311
uTThe,311
chāra,311
fardā,311
kufr,311
DhūñDte,311
jhiil,310
jam,310
uThāne,310
patte,310
naale,310
jhukā,309
ġhāfil,309
beach,309
dhuul,309
saañp,308
ā.ina,307
taqāzā,307
guzār,307
darvāze,307
ḳhirām,307
ujāle,307
bāġhbāñ,307
buuñd,306
thoḌā,306
reza,305
tārīk,305
avval,305
qisse,304
sakūñ,304
imkān,304
gharoñ,303
paatā,302
rahm,302
hukm,302
kabhū,301
rok,301
armāñ,301
iqrār,301
basā,300
bantā,300
luTā,300
bayān,300
sitamgar,300
jiite,300
jaal,300
dastār,300
ahvāl,299
kaj,299
Daale,299
dījiye,299
shanās,299
pher,298
masjid,298
gilā,298
ādāb,298
shaan,297
utaar,297
naala,297
bismil,297
mulk,297
hadd,297
gosha,297
dastak,296
īmān,296
uThtī,296
zan,296
mazār,296
āp,296
jur.at,296
mahbūb,296
ḳhas,296
mas.ala,295
qarz,295
chāhtī,295
bal,294
phire,294
mutma.in,293
kafan,292
jins,292
panāh,291
āñchal,291
ishāra,291
ināyat,291
nazr,291
uupar,291
aib,291
ḳhilāf,291
ta.iiñ,291
sunī,290
pūchhtā,290
dhartī,290
mehmān,289
nasheman,289
bulā,288
duā.eñ,288
ġhurbat,288
bachche,288
aflāk,287
gauhar,287
shahar,287
daraḳht,287
fasāne,287
baab,287
sochte,287
īmāñ,287
mahal,286
jāgte,286
uThāyā,286
tale,285
paimāne,285
khultā,285
bhaTak,285
da.avā,285
Duubā,285
dushmanoñ,285
letī,284
hisse,284
gosh,284
dīvāroñ,284
parvāne,283
naav,283
'mus.hafī',283
marham,283
gire,283
chaleñ,282
tāza,281
yādeñ,281
tumhīñ,281
jiit,281
guzarte,281
talḳh,281
vīrāne,279
bhārī,279
inqalāb,279
gurezāñ,279
guzartā,279
ishāre,278
Thokar,278
rasā.ī,278
likhnā,277
apnoñ,277
ījād,277
namāz,277
qayām,277
auqāt,276
samāñ,276
farhād,276
muravvat,276
masāfat,276
razā,276
muḌ,275
khaḌī,275
makīñ,275
shoḳhī,275
rañgoñ,275
asīr,274
guzarne,274
tajallī,274
qāsid,273
lahja,273
rasā,273
diiñ,273
pūchhiye,273
fusūñ,273
baiThī,271
nadāmat,271
aañch,271
jalne,271
jāniye,271
sābit,270
imkāñ,270
gah,270
rahīñ,270
jaltī,270
ruuTh,270
'anjum',269
dhun,269
ābla,268
mausamoñ,268
batā.ūñ,268
murġh,268
aave,268
ilaaj,268
nok,267
narm,267
numū,267
baqā,267
asiir,267
amāñ,267
rūdād,266
sajde,266
sambhāl,266
badaltā,266
jumbish,266
ain,266
mohabbatoñ,266
shā.ir,266
pyāsā,266
jauhar,265
pukār,265
añdherī,265
samā,265
ġhairat,265
darkār,265
saf,264
bujhe,264
mahfūz,264
qudrat,264
are,263
ġhanīmat,263
nazzāra,263
karoge,263
ām,263
nik.hat,262
khile,262
imtihān,262
bolā,262
rafū,262
rāhguzar,262
asl,262
mubtalā,261
vahshī,261
sañvar,261
kashish,261
dahlīz,261
iltifāt,261
ġhaflat,260
badnām,260
tālib,259
ravish,259
TuuTī,259
kanār,259
karāñ,258
baaz,258
zabānī,258
paḌegā,258
ijāzat,258
gunahgār,258
dāmāñ,257
uljhā,257
kamāñ,257
arsa,257
maujoñ,257
va.ade,257
surūr,257
bapā,257
hal,256
shāḳhoñ,256
umīd,256
surāġh,256
navāz,256
sāl,256
daftar,256
aabrū,256
bachpan,256
'nazīr',255
ishrat,255
ma.ānī,255
umiid,255
ro.e,255
sune,255
ibādat,254
namī,254
kunj,254
bahāna,254
akele,254
rasan,254
ruḳhī,254
luuT,254
ubhar,253
ḳhvāhishoñ,253
sādgī,253
dhaḌkan,253
khañDar,252
uTThā,252
jhoñkā,252
shān,252
pahar,251
ġharq,251
banātā,251
sūd,251
jitnī,251
bikhre,251
manziloñ,251
tavāñ,251
degī,251
chhā,251
phal,250
phail,250
purānā,250
fazāoñ,250
māyūs,250
ḳhamosh,250
kaḌī,249
jalāne,249
saada,249
haT,249
aa.iiñ,249
khiḌkī,249
khil,248
darāz,248
rihā.ī,248
nasha,248
parindoñ,248
Darte,248
murād,247
ujāloñ,247
khaa.e,246
jāoge,246
ḳhizr,246
bantī,246
taab,246
ka.abe,246
ziyā,246
jhuk,246
gurez,246
parinda,246
jalā.e,245
pattoñ,245
charchā,245
shah,245
hairānī,245
dīvāngī,245
mujhī,245
sho.ale,245
tārīḳh,244
puurī,244
darja,244
kinārā,244
sarā,244
paḌtī,244
dekheñge,244
bahtā,244
gahrā,244
ma.asūm,244
ḳhez,244
rahbar,243
parastī,243
fāsle,243
gor,242
phirā,242
karūñgā,242
guzartī,242
sāda,242
digar,242
bāz,242
rāstoñ,242
bisāt,241
barpā,241
ta.āqub,241
jalvoñ,241
haTā,241
qatre,240
zaḳhmī,240
lagāyā,240
dilbar,240
ushshāq,240
hathelī,240
masarrat,239
taḳht,239
posh,239
pareshān,239
vīrāna,239
bikhrā,239
batā.eñ,238
maze,238
zamīr,238
hamrāh,238
māhtāb,237
sadqe,237
chīḳh,237
sharminda,237
kashmakash,237
sila,237
sameT,236
hañstā,236
kaTī,236
DhūñDne,236
qusūr,236
pighal,236
tabāh,236
paate,236
uḌtī,236
jhalak,236
sote,235
shar,235
lahr,235
harā,235
kahkashāñ,235
sunā.ī,235
sifat,234
sāvan,234
ravā,234
girdāb,234
jā.eñgī,234
fasīl,234
pattharoñ,234
bhaa.ī,234
mazāq,234
rahnumā,234
namak,234
sāmnā,234
naqsha,233
jeb,233
thaam,233
kāmil,233
sadā.eñ,233
dūsre,233
hissa,233
farsh,233
nazāra,232
taskīn,232
gadā,232
utre,232
darīche,232
shaad,232
sehn,232
jaage,232
garī,232
havāle,232
guftār,232
ḳhaas,232
bāñdhe,232
yās,231
laash,231
khoyā,231
uf,231
najāt,231
burī,231
jagā,230
manzileñ,230
māhaul,230
'shād',230
mehmāñ,230
rozgār,230
sehr,230
aziyyat,230
āsānī,230
harīf,230
tūr,229
chāhne,229
tamāsha,229
numāyāñ,229
āshufta,229
piyā,228
buniyād,228
badalne,228
DhūñDh,228
mizha,228
guzārī,228
girah,228
chāhūñ,227
kaTe,227
biit,227
chāp,227
